1C8776D,Qivivo
1C87764,RDP.RU
1C87768,Guangzhou Video-Star
8439BE5,Neat S.r.l.
8439BE8,Diamond Products LLC
8439BE3,ShenZhen Fudeyu Technology co.
1C88799,Xingtera China Ltd
40A36B5,National Research Council of
1C87762,Ibeo Automotive Systems GmbH
40A36B6,Bixi Systems Ltd.
70886BB,Beijing Strongleader Science
800A805,Shenzhen Zidoo Technology Co.
800A801,Dongguan I-Chime electrinics
1C21D17,Soundtrack Your Brand Sweden
DC4427C,Pyrexx Technologies GmbH
CC1BE0E,Cassia Networks
CC1BE02,i-Trinetech Co.
CC1BE05,Earphone Connection
A03E6B1,Business Support Consultant
C88ED19,Focalcrest
C88ED14,Comlab AG
A03E6BA,Shenzhen Neostra Technology
78C2C0E,Huwomobility
78C2C01,XRONOS-INC
B437D1C,NANJING PUTIAN
B437D17,GE Power Management
DC44273,General Microsystems Sdn Bhd
78C2C08,Beijing Coilabs technology co.
78C2C05,ShenZhen TuLing Robot CO.
B0C5CAB,RISECOMM (HK) TECHNOLOGY CO.
B0C5CA2,LOWOTEC GmbH
807B855,EFCO
807B857,Chendu Ningshui Technology Co.
807B850,Shiroshita Industrial Co.
80E4DA3,Beijing Gaokezhongtian
2CD1419,Beijing Hexing Chuangxiang
1CCAE3D,eSight Corporation
1CCAE3C,Gahdeung Elecom
64FB81A,Bronkhorst High-Tech BV
64FB81D,Dongyang unitech.co.ltd
64FB816,XIMO Communication Technology
64FB811,Narrative AB
549A111,SpearX Inc.
549A112,Torrap Design Limited
807B85C,Ningbo Plus and Popscreens
1CCAE31,PGA ELECTRONIC
1CCAE30,Private
80E4DAC,EVER Sp. z o.o.
80E4DA7,Shortcut Labs
B437D13,DIMTON CO.
B437D10,Lezyne INC USA
74F8DBB,Capwave Technologies Inc
885D904,Wuhan Strong Electronics Co.
549A11C,Xi'an Hua Fan Technology Co.
549A11B,Elite Silicon Technology
74F8DB3,InnoTrans Communications
885D90D,Hexaglobe
885D909,Gigatech R&D Corp.
F802782,Innodisk
0CEFAFE,Infinisource Inc.
90C6822,ekey biometric systems gmbh
2C6A6FD,Holjeron
2C6A6F9,Logic IO Aps
2C6A6FA,Wellntel
9802D8B,HANSHIN MEDICAL CO.
9802D87,Ormazabal
0CEFAF8,BSX Athletics
0CEFAF5,PREMIUM SA
0CEFAF4,Sentry360
A44F29C,Shenzhen Huadoo Bright Group
A0BB3E3,WiteRiver Technology LLC
28FD80D,Grandway Technology (Shenzhen)
28FD80C,Airbus Defence and Space Oy
28FD809,JINLITONG INTERNATIONAL CO.
28FD802,Zhixiang Technology Co.
A0BB3EA,Filo SRL
9802D82,United Power Research
A0BB3E8,AutarcTech GmbH
A0BB3E4,COMSYS Communications Systems
90C682E,Shanghai HuRong Communication
90C6829,ACT
F80278E,Lit Technologies
F80278B,Rosemount Analytical
F802787,BETTINI SRL
28FD803,NUUO
E818635,WETEK ELECTRONICS LIMITED
E818632,AVCON Information Technology
B8D812D,Lam Research
B8D8126,Vonger Electronic Technology
B8D8124,V5 Technology Corporation
74E14A6,Emerging Technology (Holdings)
74E14A3,emz-Hanauer GmbH & Co. KGaA
E4956ED,Shanghai Tieda
D022122,RHENAC Systems GmbH
E81863D,DIGITAL DYNAMICS
E818639,BSM Wireless Inc.
D02212D,SHENZHEN ZHONGXI SECURITY CO.
E4956EA,Red Point Positioning
E4956E4,Guang Lian Zhi Tong Technology
B8D8120,Glamo Inc.
74E14AA,AStar Design Service
A44F297,Protean Payment
A44F290,Dermalog Identification
3C39E7E,MARPOSS SPA
3C39E7C,VANSTONE ELECTRONICCO
3C39E72,HomeWizard B.V.
D022126,URANO INDUSTRIA DE BALANCAS E
BC6641D,UtilLighting Co.
BC66419,Shenzhen General Measure
BC66416,Intuitive Surgical
BC34001,IPLINK Technology Corp
A43BFAE,The Magstim Company Ltd.
A43BFAA,Plus One Japan Ltd.
BC66411,Global China Technology
B01F815,SHENZHEN GRID TECHNOLOGY CO.
B01F811,Uvax Concepts
F40E11E,Elektronika Naglic d.o.o.
F40E112,Axel srl
7C70BC9,dogtra
7C70BC5,Canary Connect
141FBA7,Wisnetworks Technologies Co.
7C70BCE,HOPERUN MMAX DIGITAL PTE. LTD.
7C70BC0,Shanghai magcomm communication
BC3400B,FARO TECHNOLOGIES
BC34007,Q-PRODUCTS a. s.
B01F81D,TAIWAN Anjie Electronics Co.
A43BFA7,Deatronic srl
A43BFA2,Powell Industries
D07650E,Revox Inc.
D07650A,InventDesign
D076503,TAPKO Technologies GmbH
1C87741,SIGFOX
1C87743,Silora R&D
1C88795,SHENZHENFREELINK ELECTRONIC
1C8879C,Accriva
1C87799,Istria soluciones de
1C87749,Wide World Trade HK ltd.
1C8774B,HABEY USA Inc.
1C88794,Ultraflux
1C88796,Eolos IT Corp
1C8774E,Quest Integrity
78CA834,Pinhole Technology Co.
78CA83E,Konecranes
38B8EBB,ExaScaler Inc.
38FDFE5,CaptiveAire Systems Inc.
5CF2867,Access IS
5CF2862,Shanghai Notion Information
5CF286C,Sunpet Industries Limited
5CF2866,VPInstruments
5CF286A,Unfors Raysafe AB
7C477C5,Midwest Microwave Solutions
5CF286E,Daisen Electronic Industrial
7C477C1,Photosynth Inc.
986D35A,iWave Japan
986D357,Zhejiang Hanshow Technology
50FF99C,Goetting KG
50FF995,Garrison Technology
50FF997,Honeywell International
50FF99B,Sichuan Dowlab Electronics
E0B6F55,Shenzhen Civicom Technology
E0B6F50,BeSTAR Corporation
E0B6F57,Shenzhen Xrinda Technology Ltd
E0B6F5B,Moog Crossbow
E0B6F5C,funktel GmbH
C47C8D1,LYNX INNOVATION LITIMED
C47C8D4,ROBOSTAR
C47C8D7,Awiselink Co.
C47C8D3,Watec Co.
CCD31E1,Rondo Burgdorf AG
CCD31E6,BBPOS International Limited
CCD31E3,KEN A/S
D0D94F9,Hangzhou xiaoben technology
D0D94F7,Private
D0D94F0,Perfant Technology Co.
8C192DD,Pyras Technology Inc.
8C192D4,Charmlink Tech(HK) Co.
8C192DE,Elcon AB
2836384,Dspread Technology (Beijing)
283638A,Bluekey Pty Ltd
CC1BE0F,Private
F40E11F,Private
D07650F,Private
E81863F,Private
F80278F,Private
9802D8F,Private
90C682F,Private
283638D,APPEAK Technology System
1CCAE3F,Private
2836389,Shenzhen Zhi Hua Creative
B0C5CA7,SHENZHEN KTC TECHNOLOGY GROUP
283638E,SCA Hygiene Products AB
F0ACD73,Med-Pat/Inn-Phone
F0ACD75,PAVO TASARIM URETIM TICARET
2836382,SHENZHEN GOSPELL SMARTHOME
F0ACD7D,Smart Power Technology Co.
F0ACD77,Hanju Network Technologies Co.
58E8768,Chengdu Vision-Zenith
58E8766,DivioTec Inc.
84E0F4B,Orchard Electronics Co.
84E0F4C,AIMTRON CORPORATION
84E0F45,Hangzhou Nationalchip Science
84E0F41,MedicusTek Inc.
70F8E77,NST Technology Limited Co.
F81D786,Zengge Co.
F81D784,Digital Imaging Technology
F81D781,ADTECHNO Inc.
383A211,HOBART GmbH
383A212,Shenzhen HS Fiber
383A217,Chengdu Krosslan Technology
AC64DDA,Bluewave Global Manufacturing
AC64DDB,Groupe Citypassenger Inc
4CE173B,Shanghai Ehong Technology Co.
4CE1737,Ersúles Limited
4CE1739,Shenzhen Evolution Dynamics
1CC0E11,Hangzhou Kaierda Electric
1CC0E15,Kids Wireless Inc
1CC0E13,HANGZHOU SOFTEL OPTIC CO.
1CC0E1E,Yun Yang Fire Safety Equipment
1CC0E1A,SECHERON SA
1CC0E17,SHENZHEN KINSTONE D&T DEVELOP
4865EE0,DefPower Ltd
4865EEC,DNV GL
3C39E7F,Private
4865EE4,Mission Microwave Technologies
244E7B2,RCC TIME CO .
244E7B1,sonoscape
244E7B7,Nanjing Wanlida Technology Co.
244E7B3,Shenzhen Ruixunyun Technology
244E7BB,Mighty Audio
7CCBE28,Polarteknik Oy
7CCBE24,Ningbo bird sales co.
7CCBE2D,optilink networks pvt ltd
7419F87,Heptagon Systems PTY. LTD.
500B91B,thumbzup UK Limited
500B91C,Diamond Traffic Products
500B915,jiangsu zhongling high-tech
500B914,Sinope technologies Inc
1CC0E14,Videri Inc.
A4580F3,Engineered SA
A4580FD,EYE IO
40ED981,GuangZhou FiiO Electronics
40ED985,Cape
34049E3,Nanjing Mythware Information
34049EA,i3 International Inc.
50A4D06,PointGrab
34049EE,ND SatCom GmbH
50A4D05,TREXOM S.r.l.
50A4D01,Beijing ANTVR Technology Co.
50A4D0A,Changsha SinoCare
8CC8F4C,Shenzhen KSTAR Science
40F385D,Digital Bros S.p.A.
40F3854,Embedded IQ
40F3859,Fast Precision Technologies
40F3850,SubPac
1CA0D32,NovTech
38FDFEC,New Garden Co.
1CA0D3E,Exicom Tele-Systems Ltd.
A411630,Adetel Equipment
A411637,SHENZHEN YIWANJIA INFORMATION
144FD72,FedEx Services OTI
144FD79,Emerson Network Power Pvt.
144FD7D,Shanghai B&A Technology Co.
144FD73,Qingdao Wodatong Electronics
98AAFC0,Dalian Eastern Display Co.
98AAFC9,BEAM Authentic
98AAFCE,Comarch S.A.
98AAFC8,Beijing Tiandi-Marco
98AAFCC,dots Inc.
08ED023,Jiangsu Logread Network
08ED026,SANGO ELECTRONICS CO
08ED024,Fio Corporation
1C8776C,Strone Technology
1C87795,BEIDIAN GROUP
1C8779B,Beijing Geedeen Technology Co.
1C87794,Novetta
1C87792,SMARTMOVT TECHNOLOGY Co.， LTD
1C87791,A-GEAR COMPANY LIMITED
8439BED,Shenzhen Lidaxun Digital
8439BE9,Guangdong SunMeng Information
8439BEC,EDC Electronic Design Chemnitz
8439BEA,Emotiq s.r.l.
40A36BA,Embrionix Design Inc.
8439BE4,Shenzhen Ramos Digital
40A36B4,SKS-Kinkel Elektronik GmbH
800A803,Beijing VControl Technology
A03E6BD,Jining SmartCity Infotech
C88ED1C,Shanghai Bwave Technology Co.
C88ED1B,Advanced Micro Controls Inc.
C88ED16,Shenyang Machine Tool Research
CC1BE0B,ART&CORE Inc
CC1BE07,Sichuan Dianjia network
CC1BE00,MICROTECH SYSTEM
DC44270,Suritel
B0C5CAE,Audio Elektronik İthalat
B0C5CA9,D&T Inc.
C88ED10,AISWORLD PRIVATE LIMITED
C88ED12,ROTRONIC AG
1C21D16,Wuhan TieChi Detection
DC44276,EK-TEAM Elektronik- u.
DC4427A,Shanghai Huahong Integrated
A03E6B8,718th Research Institute of
A03E6B3,iLoda Solutions Limited
B0C5CA4,shanghai University Ding-Tech
78C2C0D,KORF Inc.
78C2C0A,Ombitron
78C2C03,Ningbo Sanxing Electric Co.
B437D1E,Union Tecnologica Noxium S.L.
B437D19,Nanjing yuekong Intelligent
885D906,Hi-Profile Achievement Sdn Bhd
885D900,FOSHAN HUAGUO OPTICAL CO.
74F8DB8,Songam Syscom Co. LTD.
74F8DB6,Shenzhen Melon Electronics Co.
885D90B,Premier Merchandises Limited
B437D15,Stratom
74F8DBC,TBM CO.
2C6A6F0,Shanghai Shuncom Electronic
2C6A6F1,ELKO EP
9802D8E,Private
549A11D,Hangzhou duotin Technology Co.
549A11A,VendNovation LLC
549A113,Royal Boon Edam International
549A110,Shenzhen Excera Technology Co.
807B85E,Mersen
807B859,SMART ELECTRONICS NZ LIMITED
1CCAE32,Insigma Inc
80E4DAA,Neutronics
1CCAE3E,Dabi Atlante S/A Industrias
1CCAE3B,Dream Visions Co.
1CCAE3A,SIREA
2CD1418,Minno LLC
90C682B,Lachmann & Rink GmbH
80E4DA0,Wheatstone Corporation
64FB819,hiQview Corporation
64FB814,Pricer AB
90C6825,S.A.E.T. S.R.L.
90C6827,Cinet Inc
90C6820,Shenzhen Lencotion Technology
2C6A6FC,Sensity Systems
2C6A6FB,Schneider Electric Korea
2C6A6F8,Milbank Manufacturing Co.
807B853,Zhuhai TOP Intelligence
A0BB3ED,Shenzhen Talent Technology
9802D84,Zedi
28FD808,Jasco Products Company
28FD801,Galileo
2C265F8,Itus Networks
0CEFAF9,Rotel
0CEFAF6,Firmware Design AS
A44F299,Certi Networks Sdn Bhd
A44F293,Comsel System Ltd
A44F295,Shanghai KuanYu Industrial
100723E,First Chair Acoustics Co.
1007234,Audio Engineering Ltd.
2C265F5,Motec GmbH
F802785,Electric Objects
A0BB3E0,Link Labs
28FD80B,Poket Hardware GmbH
3C39E73,ELSA Japan Inc.
E4956E8,PT.MLWTelecom
E4956E7,NationalchipKorea
E4956E2,Shanghai Hoping Technology Co.
E4956E1,Tband srl
E818637,Siliconcube
E818630,DigiMagus Technology Co.
B8D8129,Entotem LTD
74E14AC,Wuhan Shenghong Laser
B01F81E,Advanced & Wise Technology
B01F81A,Steffens Systems GmbH
D02212A,GNS-GmbH
D022129,UAB &quot;SALDA&quot;
D022124,Viatron GmbH
D022120,Spirit IT B.V.
E81863A,JDM Mobile Internet Solution
BC66413,Solectria Renewables
58FCDB6,Timex Group USA Inc
58FCDB7,Open Roads Consulting
BC6641B,Sidus Novum Sp. z o. o.
74E14A8,aritec gmbh
74E14A1,Cerevo Inc.
D07650C,Electro-Motive Diesel
D076507,ENCORED Technologies
D076505,Annapurna Labs
141FBA6,Thales Communications
7C70BC2,Digital Lumens
BC3400E,LLD Technology Ltd.
BC3400D,Hangzhou Linker Digital
BC34009,Shenzhen PHilorise Technical
A43BFA9,SHEN ZHEN PASUN TECH CO.LTD.
A43BFA5,BOI Solutions
A43BFA1,Beijing Uniwill Science
D076501,DAIKEN AUTOMACAO LTDA
7419F8C,Bach Icon ApS
7C70BCC,Lukup Media
7C70BC6,Bidgely
F40E11B,BRADAR INDUSTRIA SA
F40E117,Shenzhen Grandsun Electronic
F40E115,E-SONG
F40E110,realphone technology co.
BC34004,Dexcel Design Pvt Ltd
B01F818,Technion Oy
7419F8A,Tanjarine
7419F83,Essential Trading Systems Corp
7419F80,Marmitek
1C8779E,ASSYSTEM France
1C88791,ANDRA Sp. z o.o.
1C87744,Weber Marking Systems GmbH
1C8774C,New Nordic Engineering
1C88797,Sensys Networks
1C8879B,gekartel AG
78CA836,Nomiku
78CA832,APC
78CA838,IHM
78CA839,Louroe Electronics
78CA83C,Elanview Technology Co.
38B8EB8,CeeNex Inc
38B8EBD,Yellowbrick Data
38B8EB6,MATRIXSTREAM TECHNOLOGIES
38B8EB2,barox Kommunikation GmbH
38B8EBC,Ajax Systems Inc
38B8EBE,Wyres SAS
38FDFE1,WAYTONE COMMUNICATIONS CO.
38FDFEE,iSmart electronic technology
38FDFE8,Indra Navia AS
5CF2864,CHIPSEN Co.
5CF2868,SHENZHEN HIVT TECHNOLOGY CO.
7C477C9,DaLian Cheering Tech Co.
7C477C0,BungBungame Inc
7C477C4,RLC Electronics Systems
7C477CE,I-Convergence.com
986D35D,Praesideo B.V.
986D358,Beijing 3CAVI Tech Co.
986D350,Shenzhen MALATA Mobile
986D354,blossom communications corp.
50FF998,Dolphin Concepts Limited
50FF99D,Shenzhen Haipengxin Electronic
50FF993,Yongjing Shanghai Electronic
50FF992,SHENZHEN KINGVT ELECTRONICS
E0B6F5A,Folksam AB
E0B6F54,Agora
E0B6F5E,Advatek Lighting Pty Ltd
6891D01,Multi Alarm Zrt.
6891D0C,Spraying Systems Co.
